company_name,ticker,company_name_norm,is_gx
プレス工業,7246,プレス工業,0
ミクニ,7247,ミクニ,0
太平洋工業,7250,太平洋工業,0
ユニバンス,7254,ユニバンス,0
桜井製作所,7255,桜井製作所,0
河西工業,7256,河西工業,0
アイシン,7259,アイシン,1
マツダ,7261,マツダ,1
ムロコーポレーション,7264,ムロコーポレーション,0
エイケン工業,7265,エイケン工業,0
今仙電機製作所,7266,今仙電機製作所,0
本田技研工業,7267,本田技研工業,1
スズキ,7269,スズキ,1
ＳＵＢＡＲＵ,7270,ＳＵＢＡＲＵ,0
安永,7271,安永,0
ヤマハ発動機,7272,ヤマハ発動機,1
イクヨ,7273,イクヨ,0
小糸製作所,7276,小糸製作所,0
ＴＢＫ,7277,ＴＢＫ,0
エクセディ,7278,エクセディ,0
ハイレックスコーポレーション,7279,ハイレックスコーポレーション,0
ミツバ,7280,ミツバ,0
豊田合成,7282,豊田合成,1
愛三工業,7283,愛三工業,1
盟和産業,7284,盟和産業,0
日本精機,7287,日本精機,0
日本プラスト,7291,日本プラスト,0
村上開明堂,7292,村上開明堂,0
ヨロズ,7294,ヨロズ,1
エフ・シー・シー,7296,エフ・シー・シー,1
カーメイト,7297,カーメイト,0
フジオーゼックス,7299,フジオーゼックス,0
新家工業,7305,新家工業,0
シマノ,7309,シマノ,0
テイ・エス　テック,7313,テイ・エス テック,0
小田原機器,7314,小田原機器,0
松屋アールアンドディ,7317,松屋アールアンドディ,0
セレンディップ・ホールディングス,7318,セレンディップ・ホールディングス,0
Ｓｏｌｖｖｙ,7320,Ｓｏｌｖｖｙ,0
三十三フィナンシャルグループ,7322,三十三フィナンシャルグループ,0
アイリックコーポレーション,7325,アイリックコーポレーション,0
ＳＢＩインシュアランスグループ,7326,ＳＢＩインシュアランスグループ,0
第四北越フィナンシャルグループ,7327,第四北越フィナンシャルグループ,1
ひろぎんホールディングス,7337,ひろぎんホールディングス,0
ブロードマインド,7343,ブロードマインド,0
アイ・パートナーズフィナンシャル,7345,アイ・パートナーズフィナンシャル,0
マーキュリアホールディングス,7347,マーキュリアホールディングス,0
おきなわフィナンシャルグループ,7350,おきなわフィナンシャルグループ,0
グッドパッチ,7351,グッドパッチ,0
ＴＷＯＳＴＯＮＥ＆Ｓｏｎｓ,7352,ＴＷＯＳＴＯＮＥ＆Ｓｏｎｓ,0
ＫＩＹＯラーニング,7353,ＫＩＹＯラーニング,0
ダイレクトマーケティングミックス,7354,ダイレクトマーケティングミックス,0
一寸房,7355,一寸房,0
Ｒｅｔｔｙ,7356,Ｒｅｔｔｙ,0
ジオコード,7357,ジオコード,0
ポピンズ,7358,ポピンズ,0
東京通信グループ,7359,東京通信グループ,0
オンデック,7360,オンデック,0
ヒューマンクリエイションホールディングス,7361,ヒューマンクリエイションホールディングス,0
Ｔ．Ｓ．Ｉ,7362,Ｔ．Ｓ．Ｉ,0
ベビーカレンダー,7363,ベビーカレンダー,0
琉球アスティーダスポーツクラブ,7364,琉球アスティーダスポーツクラブ,0
ＬＩＴＡＬＩＣＯ,7366,ＬＩＴＡＬＩＣＯ,0
セルム,7367,セルム,0
表示灯,7368,表示灯,0
メイホーホールディングス,7369,メイホーホールディングス,0
Ｅｎｊｉｎ,7370,Ｅｎｊｉｎ,0
Ｚｅｎｋｅｎ,7371,Ｚｅｎｋｅｎ,0
デコルテ・ホールディングス,7372,デコルテ・ホールディングス,0
アイドマ・ホールディングス,7373,アイドマ・ホールディングス,0
コンフィデンス・インターワークス,7374,コンフィデンス・インターワークス,0
リファインバースグループ,7375,リファインバースグループ,0
ＢＣＣ,7376,ＢＣＣ,0
ＤＮホールディングス,7377,ＤＮホールディングス,0
アシロ,7378,アシロ,0
十六フィナンシャルグループ,7380,十六フィナンシャルグループ,1
ＣＣＩグループ,7381,ＣＣＩグループ,0
ネットプロテクションズホールディングス,7383,ネットプロテクションズホールディングス,0
プロクレアホールディングス,7384,プロクレアホールディングス,0
ＦＰパートナー,7388,ＦＰパートナー,0
あいちフィナンシャルグループ,7389,あいちフィナンシャルグループ,0
ナンシン,7399,ナンシン,0
