company_name,ticker,company_name_norm
バルカー,7995,バルカー
くろがね工作所,7997,くろがね工作所
ＭＵＴＯＨホールディングス,7999,ＭＵＴＯＨホールディングス
伊藤忠商事,8001,伊藤忠商事
丸紅,8002,丸紅
スクロール,8005,スクロール
ユアサ・フナショク,8006,ユアサ・フナショク
高島,8007,高島
ヨンドシーホールディングス,8008,ヨンドシーホールディングス
三陽商会,8011,三陽商会
長瀬産業,8012,長瀬産業
ナイガイ,8013,ナイガイ
蝶理,8014,蝶理
豊田通商,8015,豊田通商
オンワードホールディングス,8016,オンワードホールディングス
三共生興,8018,三共生興
兼松,8020,兼松
美津濃,8022,美津濃
ＤＡＩＫＯ　ＸＴＥＣＨ,8023,ＤＡＩＫＯ ＸＴＥＣＨ
ツカモトコーポレーション,8025,ツカモトコーポレーション
ルックホールディングス,8029,ルックホールディングス
中央魚類,8030,中央魚類
三井物産,8031,三井物産
日本紙パルプ商事,8032,日本紙パルプ商事
東京エレクトロン,8035,東京エレクトロン
カメイ,8037,カメイ
築地魚市場,8039,築地魚市場
東京ソワール,8040,東京ソワール
ＯＵＧホールディングス,8041,ＯＵＧホールディングス
スターゼン,8043,スターゼン
横浜丸魚,8045,横浜丸魚
丸藤シートパイル,8046,丸藤シートパイル
セイコーグループ,8050,セイコーグループ
山善,8051,山善
椿本興業,8052,椿本興業
住友商事,8053,住友商事
ＢＩＰＲＯＧＹ,8056,ＢＩＰＲＯＧＹ
内田洋行,8057,内田洋行
三菱商事,8058,三菱商事
第一実業,8059,第一実業
キヤノンマーケティングジャパン,8060,キヤノンマーケティングジャパン
西華産業,8061,西華産業
佐藤商事,8065,佐藤商事
三谷商事,8066,三谷商事
東京産業,8070,東京産業
ユアサ商事,8074,ユアサ商事
神鋼商事,8075,神鋼商事
カノークス,8076,カノークス
トルク,8077,トルク
阪和興業,8078,阪和興業
正栄食品工業,8079,正栄食品工業
カナデン,8081,カナデン
ＲＹＯＤＥＮ,8084,ＲＹＯＤＥＮ
ナラサキ産業,8085,ナラサキ産業
ニプロ,8086,ニプロ
岩谷産業,8088,岩谷産業
ナイス,8089,ナイス
ニチモウ,8091,ニチモウ
極東貿易,8093,極東貿易
アステナホールディングス,8095,アステナホールディングス
三愛オブリ,8097,三愛オブリ
稲畑産業,8098,稲畑産業
ＧＳＩクレオス,8101,ＧＳＩクレオス
明和産業,8103,明和産業
クワザワホールディングス,8104,クワザワホールディングス
Ｂｉｔｃｏｉｎ　Ｊａｐａｎ,8105,Ｂｉｔｃｏｉｎ Ｊａｐａｎ
キムラタン,8107,キムラタン
