gx_company_name,ticker,mapped_company_name,name_norm,会社名,業種,emission_label
高砂熱学工業株式会社,1969,高砂熱学工業,高砂熱学工業,高砂熱学工業株式会社,建設業,2.0
東亜建設工業株式会社,1885,東亜建設工業,東亜建設工業,東亜建設工業株式会社,建設業,2.0
東急建設株式会社,1720,東急建設,東急建設,東急建設株式会社,建設業,2.0
東洋エンジニアリング株式会社,6330,東洋エンジニアリング,東洋エンジニアリング,東洋エンジニアリング株式会社,建設業,2.0
東洋建設株式会社,1890,東洋建設,東洋建設,東洋建設株式会社,建設業,2.0
戸田建設株式会社,1860,戸田建設,戸田建設,戸田建設株式会社,建設業,2.0
日揮ホールディングス株式会社,1963,日揮ホールディングス,日揮ホールディングス,日揮ホールディングス株式会社,建設業,2.0
三井住友建設株式会社,1821,三井住友建設,三井住友建設,三井住友建設株式会社,建設業,2.0
小田急電鉄株式会社,9007,小田急電鉄,小田急電鉄,小田急電鉄株式会社,鉄道業,1.0
株式会社商船三井,9104,商船三井,商船三井,株式会社商船三井,水運業,2.0
株式会社　上組,9364,上組,上組,株式会社上組,その他の運輸業・郵便業,2.0
川崎汽船株式会社,9107,川崎汽船,川崎汽船,川崎汽船株式会社,水運業,2.0
九州旅客鉄道株式会社,9142,九州旅客鉄道,九州旅客鉄道,九州旅客鉄道株式会社,鉄道業,1.0
センコーグループホールディングス株式会社,9069,センコーグループホールディングス,センコーグループホールディングス,センコーグループホールディングス株式会社,道路旅客運輸業,1.0
東急株式会社,9005,東急,東急,東急株式会社,不動産業・物品賃貸業,1.0
南海電気鉄道株式会社,9044,南海電気鉄道,南海電気鉄道,南海電気鉄道株式会社,鉄道業,1.0
西日本鉄道株式会社,9031,西日本鉄道,西日本鉄道,西日本鉄道株式会社,道路旅客運輸業,1.0
西日本旅客鉄道株式会社,9021,西日本旅客鉄道,西日本旅客鉄道,西日本旅客鉄道株式会社,鉄道業,1.0
日本郵政株式会社,6178,日本郵政,日本郵政,日本郵政株式会社,その他の運輸業・郵便業,2.0
日本郵船株式会社,9101,日本郵船,日本郵船,日本郵船株式会社,水運業,2.0
阪急阪神ホールディングス株式会社,9042,阪急阪神ホールディングス,阪急阪神ホールディングス,阪急阪神ホールディングス株式会社,鉄道業,1.0
東日本旅客鉄道株式会社,9020,東日本旅客鉄道,東日本旅客鉄道,東日本旅客鉄道株式会社,鉄道業,1.0
ヤマトホールディングス株式会社,9064,ヤマトホールディングス,ヤマトホールディングス,ヤマトホールディングス株式会社,道路旅客運輸業,1.0
いちご株式会社,2337,いちご,いちご,いちご株式会社,不動産業・物品賃貸業,1.0
東急不動産ホールディングス株式会社,3289,東急不動産ホールディングス,東急不動産ホールディングス,東急不動産ホールディングス株式会社,不動産業・物品賃貸業,1.0
三井不動産株式会社,8801,三井不動産,三井不動産,三井不動産株式会社,不動産業・物品賃貸業,1.0
三菱地所株式会社,8802,三菱地所,三菱地所,三菱地所株式会社,不動産業・物品賃貸業,1.0
芙蓉総合リース株式会社,8424,芙蓉総合リース,芙蓉総合リース,芙蓉総合リース株式会社,不動産業・物品賃貸業,1.0
株式会社バンダイナムコホールディングス,7832,バンダイナムコホールディングス,バンダイナムコホールディングス,株式会社バンダイナムコホールディングス,その他の製造業,1.0
石油資源開発株式会社,1662,石油資源開発,石油資源開発,※ 石油資源開発株式会社,鉱業・採石業・砂利採取業,2.0
三井金属株式会社,5706,三井金属,三井金属,三井金属株式会社,非鉄金属製造業,2.0
田中鉄工株式会社,6319,田中鉄工,田中鉄工,田中鉄工株式会社,はん用、生産用、業務用機械器具製造業,1.0
